ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autoloanproviders,autopartssupplies,autorepair,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,carshares,coffee,cyclingclasses,discountstore,divebars,dog_parks,doulas,foodbanks,galleries,guns_and_ammo,gyms,hairstylists,healthmarkets,juicebars,kombucha,mexican,musicvenues,organic_stores,paintandsip,pawn,pilates,skate_parks,tattoo,thrift_stores,vegan,vegetarian,vintage,wine_bars,yoga
78737,"$87,029.00","$119,638.59","$122,886.00",3%,,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4
78738,"$102,295.00","$140,624.73","$127,683.00",-9%,,0,0,1,0,5,1,1,0,0,1,3,2,0,4,0,0,0,5,1,0,0,1,0,0,3,1,6,10,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,2,4
78739,"$102,707.00","$141,191.11","$130,199.00",-8%,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78741,"$25,369.00","$34,874.71","$31,192.00",-11%,,0,0,3,1,3,0,4,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,2,0,1,0,0,0,0,29,5,0,0,2,0,0,1,2,0,0,1,0,2
78742,"$28,281.00","$38,877.83","$35,700.00",-8%,,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78744,"$38,256.00","$52,590.45","$41,331.00",-21%,,2,0,5,6,1,0,0,0,0,0,0,8,0,1,1,0,0,0,0,1,0,1,0,1,1,0,2,2,1,0,0,19,0,0,0,1,0,0,2,0,0,0,1,0,0
78745,"$43,458.00","$59,741.63","$52,949.00",-11%,,2,0,13,13,14,0,3,0,1,1,0,13,1,0,5,0,0,11,0,0,0,0,0,0,1,1,11,19,0,3,0,40,2,0,0,6,1,0,4,6,0,0,3,0,8
78746,"$100,571.00","$138,254.75","$128,556.00",-7%,,0,0,0,0,5,3,0,0,0,0,0,0,0,5,1,3,0,11,0,0,0,0,0,0,3,0,8,13,3,5,0,8,2,0,0,0,6,0,0,1,0,0,1,0,10
78747,"$60,861.00","$83,665.50","$62,243.00",-26%,,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
78748,"$57,710.00","$79,333.82","$68,835.00",-13%,,4,0,4,0,5,1,7,0,0,0,1,3,3,0,0,0,0,6,0,3,2,0,0,0,0,0,10,6,0,1,0,13,3,0,1,1,0,0,3,1,0,0,1,0,0
78749,"$68,244.00","$93,814.89","$84,954.00",-9%,,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,0,0,6,0,0,0,0,0,0,2,0,5,9,3,1,0,6,0,0,0,0,3,0,0,0,0,0,0,0,3
78750,"$78,428.00","$107,814.82","$73,659.00",-32%,,0,0,4,3,5,0,0,0,0,0,0,5,0,5,0,1,0,4,0,0,1,1,0,0,0,2,6,18,1,2,0,12,0,0,2,2,1,0,3,3,0,0,2,0,4
78751,"$29,779.00","$40,937.13","$41,279.00",1%,,0,0,3,2,3,0,4,0,0,4,0,0,3,4,0,0,0,5,0,0,1,0,2,0,5,0,9,1,0,2,0,9,0,0,0,1,2,0,4,0,4,1,9,1,5
78752,"$30,207.00","$41,525.50","$37,396.00",-10%,,0,0,4,2,4,0,2,0,0,2,0,5,1,0,1,2,0,4,0,0,0,0,0,0,1,0,6,1,0,1,0,15,1,0,0,3,0,0,0,1,0,0,0,0,2
78753,"$38,206.00","$52,521.71","$39,228.00",-25%,,4,0,13,15,3,0,3,0,0,0,0,21,0,0,0,0,0,3,0,3,1,0,0,0,0,0,4,4,2,6,0,37,0,0,0,4,0,0,1,1,2,0,0,0,1
78754,"$51,810.00","$71,223.10","$53,040.00",-26%,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
78756,"$36,978.00","$50,833.58","$63,750.00",25%,Y,0,0,2,1,3,1,0,0,0,0,0,0,0,5,0,3,0,7,0,0,1,0,0,0,3,0,6,7,2,1,0,10,0,0,0,0,3,0,6,6,0,2,4,2,6
78757,"$45,090.00","$61,985.13","$60,856.00",-2%,,0,0,4,2,15,0,6,0,0,2,4,3,1,6,0,0,0,7,0,2,2,0,1,0,5,0,10,25,0,4,0,17,0,0,1,2,0,0,7,2,0,0,5,0,8
78758,"$42,398.00","$58,284.45","$44,476.00",-24%,,0,0,19,20,5,1,8,0,2,1,3,20,2,3,5,0,0,9,0,2,2,0,1,0,2,0,9,10,2,3,0,19,1,0,1,1,4,0,2,1,0,1,2,2,4
78759,"$61,284.00","$84,246.99","$70,095.00",-17%,,0,0,3,3,2,0,2,0,0,3,0,2,1,6,2,4,0,5,0,0,0,0,0,0,2,0,6,10,3,4,0,14,0,0,0,3,0,0,2,1,0,0,0,0,5
median,"$57,502.00","$79,047.89","$66,912.50",-10%,,0.00,0.00,2.50,1.00,2.50,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,4.00,2.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
